#v1.1-loci	v2.0.0-loci
OG0010276	0895
OG0005310	0896
OG0010946	0897
OG0008943	0898
OG0008248	0899
OG0011577	0900
OG0007923	0901
OG0013298	0902
OG0005036	0903
OG0011981	0904
OG0011625	0905
OG0008895	0906
OG0010794	0907
OG0008094	0908
OG0011837	0909
OG0010922	0910
OG0012752	0911
OG0009551	0912
OG0005958	0913
OG0010844	0914
OG0005831	0915
OG0012548	0916
OG0008213	0917
OG0007428	0918
OG0008836	0919
OG0010583	0920
OG0011235	0921
OG0009511	0922
OG0009455	0923
OG0010606	0924
OG0011731	0925
OG0007182	0926
OG0012824	0927
OG0011865	0928
OG0006252	0929
OG0011039	0930
OG0005665	0931
OG0012031	0932
OG0019148	0933
OG0012128	0934
OG0010094	0935
OG0006925	0936
OG0007575	0937
OG0011818	0938
OG0005320	0939
OG0004137	0940
OG0012170	0941
OG0010884	0942
OG0012209	0943
OG0009516	0944
02_584	0945
OG0003922	0946
OG0011489	0947
OG0004784	0948
OG0009603	0949
OG0006731	0950
OG0008970	0951
07_2288	0952
07_1547	0953
OG0015004	0954
OG0009290	0955
04_1943	0956
OG0011980	0957
OG0011260	0958
OG0009977	0959
OG0004859	0960
OG0008383	0961
OG0010226	0962
OG0011246	0963
OG0011262	0964
OG0006161	0965
OG0008589	0966
OG0011314	0967
OG0011145	0968
OG0007453	0969
OG0014523	0970
OG0011946	0971
OG0011786	0972
OG0009124	0973
OG0012270	0974
OG0010472	0975
OG0011527	0976
OG0011119	0977
OG0012856	0978
OG0011663	0979
OG0011948	0980
OG0011546	0981
OG0005315	0982
OG0011229	0983
OG0012234	0984
OG0010943	0985
OG0010292	0986
OG0012235	0987
OG0009686	0988
OG0010341	0989
OG0008939	0990
OG0011613	0991
04_3386	0992
OG0011493	0993
OG0012088	0994
OG0012230	0995
OG0011579	0996
OG0011297	0997
OG0012503	0998
OG0012148	0999
OG0012797	1000
OG0009417	1001
OG0012478	1002
OG0010138	1003
OG0012111	1004
OG0011212	1005
04_430	1006
OG0011232	1007
OG0015658	1008
OG0011534	1009
OG0006562	1010
OG0010302	1011
OG0012083	1012
OG0013797	1013
OG0014151	1014
OG0010921	1015
OG0006929	1016
OG0010560	1017
OG0008300	1018
OG0009284	1019
OG0012563	1020
OG0009888	1021
OG0011187	1022
OG0012231	1023
03_3024	1024
OG0011521	1025
OG0010875	1026
OG0007001	1027
OG0007974	1028
OG0011002	1029
05_2686	1030
OG0008618	1031
OG0011766	1032
OG0011292	1033
OG0009470	1034
OG0007342	1035
OG0010173	1036
OG0011504	1037
OG0009213	1038
OG0010260	1039
OG0011609	1040
OG0011556	1041
OG0012037	1042
OG0003891	1043
OG0009478	1044
OG0012074	1045
03_2414	1046
OG0008932	1047
OG0011529	1048
OG0012419	1049
OG0010824	1050
OG0010878	1051
OG0010225	1052
OG0009107	1053
OG0005952	1054
OG0010481	1055
OG0013030	1056
OG0009512	1057
OG0006852	1058
OG0008177	1059
OG0009259	1060
OG0011406	1061
OG0010757	1062
OG0005669	1063
08_775	1064
OG0009890	1065
OG0013047	1066
OG0010452	1067
OG0008599	1068
OG0011836	1069
OG0011989	1070
OG0010825	1071
OG0005079	1072
OG0009627	1073
OG0007900	1074
OG0011716	1075
OG0011065	1076
OG0008526	1077
OG0009788	1078
OG0011513	1079
OG0011567	1080
OG0008442	1081
OG0011125	1082
OG0007373	1083
OG0010585	1084
OG0012195	1085
OG0013779	1086
01_1377	1087
06_175	1088
OG0012406	1089
OG0010977	1090
OG0009510	1091
OG0011257	1092
OG0008446	1093
OG0006838	1094
OG0008232	1095
OG0005987	1096
OG0012210	1097
OG0012018	1098
OG0012526	1099
OG0009868	1100
OG0007034	1101
08_20	1102
OG0010252	1103
08_94	1104
OG0011563	1105
OG0012299	1106
OG0010911	1107
OG0010308	1108
OG0008848	1109
OG0010441	1110
OG0010423	1111
OG0012617	1112
OG0007685	1113
03_2662	1114
04_1296	1115
OG0009433	1116
OG0009427	1117
OG0010955	1118
OG0011805	1119
OG0010817	1120
OG0009525	1121
OG0012200	1122
OG0007708	1123
OG0010438	1124
OG0005133	1125
OG0011066	1126
OG0010186	1127
OG0012822	1128
OG0015073	1129
OG0011734	1130
OG0011102	1131
OG0011333	1132
OG0007865	1133
OG0014121	1134
OG0011568	1135
OG0010906	1136
OG0007359	1137
OG0007530	1138
OG0006605	1139
OG0011036	1140
OG0009082	1141
OG0007197	1142
OG0011428	1143
OG0010132	1144
03_826	1145
OG0009062	1146
OG0010069	1147
OG0010393	1148
OG0008553	1149
OG0011801	1150
OG0011853	1151
OG0005340	1152
OG0012056	1153
OG0011538	1154
OG0010318	1155
OG0009879	1156
01_1044	1157
OG0009249	1158
OG0011749	1159
OG0011508	1160
OG0011482	1161
OG0012890	1162
OG0012022	1163
OG0010169	1164
OG0010833	1165
OG0005814	1166
OG0010830	1167
OG0010104	1168
OG0011588	1169
05_36	1170
OG0013762	1171
OG0011016	1172
